off_long,off_lat,pop_up
116.364,39.96,2
116.364,39.97,13
116.364,40.036,3
116.365,39.846,1
116.365,40.033,11
116.366,39.849,11
116.366,39.869,3
116.366,39.932,6
116.366,40.0,11
116.367,39.91,5
116.367,39.918,2
116.367,39.92,1
116.368,39.701,1
116.368,39.889,4
116.368,39.893,14
116.368,39.896,1
116.368,39.904,4
116.368,39.975,7
116.368,40.06,6
116.369,39.868,3
116.369,39.882,3
116.369,39.922,8
116.369,39.993,23
116.37,39.855,5
116.37,39.864,3
116.37,39.865,6
116.37,39.866,3
116.37,39.877,5
116.371,39.898,7
116.372,39.83,1
116.372,39.849,6
116.372,39.888,35
116.372,39.906,63
116.372,39.921,2
116.372,40.0,17
116.373,39.831,2
116.373,39.846,3
116.373,39.882,6
116.373,39.948,1
116.373,40.226,1
116.374,39.931,3
116.374,39.975,1
116.374,39.979,2
116.374,39.993,14
116.374,39.996,19
116.375,39.888,33
116.375,39.977,3
116.375,40.0,28
116.375,40.065,20
116.376,39.855,15
116.376,39.868,4
116.376,39.869,5
116.376,39.87,10
116.376,40.061,1
116.377,39.877,5
116.377,39.882,10
116.377,39.967,10
116.378,39.887,19
116.378,39.892,16
116.378,39.897,1
116.378,39.975,6
116.378,40.062,1
116.379,39.83,1
116.379,39.848,6
116.379,39.899,2
116.38,39.85,3
116.38,39.854,2
116.38,39.932,2
116.381,39.855,11
116.381,39.878,4
116.381,40.065,13
116.382,39.805,1
116.382,39.882,3
116.382,39.906,11
116.383,39.882,4
116.383,39.921,7
116.383,39.967,2
116.384,39.932,3
116.386,39.855,10
116.386,39.885,7
116.386,39.975,20
116.387,39.855,8
116.387,39.899,1
116.387,39.906,79
116.388,39.871,4
116.388,39.885,9
116.388,39.961,5
116.388,39.965,1
116.388,39.972,11
116.389,39.881,4
116.389,39.922,47
116.389,39.953,3
116.39,39.93,16
116.39,39.933,6
116.39,39.936,5
116.391,39.879,8
116.392,39.883,1
116.392,39.884,42
116.392,39.887,3
116.393,39.83,1
116.393,39.86,1
