off_long,off_lat,pop_up
116.344,39.906,42
116.345,39.866,1
116.345,39.9,6
116.345,40.024,1
116.346,39.866,4
116.346,39.907,2
116.346,39.911,2
116.346,39.971,7
116.347,39.875,5
116.347,39.879,6
116.347,39.89,1
116.347,39.916,6
116.347,39.936,6
116.347,39.981,10
116.347,39.989,11
116.348,39.87,4
116.348,39.955,1
116.349,39.713,3
116.349,39.866,2
116.349,39.882,3
116.349,39.888,4
116.349,39.943,2
116.349,39.949,1
116.349,39.951,5
116.35,39.844,2
116.35,39.946,2
116.35,39.975,3
116.351,39.868,4
116.351,39.882,3
116.351,40.016,1
116.352,39.876,2
116.352,39.888,9
116.352,39.906,88
116.352,39.956,6
116.352,39.966,3
116.352,39.98,2
116.353,39.852,6
116.353,39.878,2
116.353,39.881,11
116.353,39.992,4
116.354,39.829,2
116.354,39.852,9
116.355,39.898,6
116.356,39.867,3
116.356,39.868,3
116.356,39.876,1
116.356,39.882,6
116.357,39.872,1
116.357,39.875,3
116.357,39.899,7
116.358,39.836,3
116.358,39.843,2
116.358,39.844,2
116.358,39.888,5
116.358,39.898,4
116.358,39.906,12
116.358,39.993,9
116.358,40.219,3
116.359,39.811,1
116.359,39.843,2
116.359,39.877,2
116.359,39.966,1
116.359,39.973,4
116.36,39.868,4
116.36,39.992,3
116.361,39.844,5
116.361,39.868,2
116.361,39.946,2
116.361,39.966,13
116.361,39.975,2
116.362,39.877,1
116.362,39.882,3
116.363,39.869,3
116.363,39.974,1
116.363,40.224,1
116.364,39.832,1
116.364,39.843,2
116.364,39.888,10
116.364,39.906,9
116.364,39.96,1
116.364,39.97,7
116.365,39.898,4
116.365,40.033,1
116.366,39.849,3
116.366,39.859,4
116.366,39.869,9
116.366,39.932,8
116.366,40.0,8
116.367,39.91,3
116.368,39.889,1
116.368,39.893,5
116.368,39.896,3
116.368,39.904,3
116.368,39.975,1
116.368,40.06,4
116.369,39.868,3
116.369,39.922,5
116.369,40.009,1
116.37,39.855,1
116.37,39.864,2
116.371,39.671,2
116.371,39.898,1
116.372,39.701,1
116.372,39.849,8
116.372,39.888,13
116.372,39.906,78
116.372,39.921,4
116.372,40.0,28
116.373,39.882,1
116.373,40.226,3
116.374,39.72,1
116.374,39.798,1
116.374,39.931,3
116.374,39.975,1
116.374,39.979,1
116.374,39.993,3
116.374,39.996,2
116.375,39.888,35
116.375,39.977,1
116.375,40.0,11
116.375,40.065,6
116.376,39.855,15
116.376,39.868,4
116.376,39.87,4
116.377,39.877,6
116.377,39.882,1
116.377,39.967,2
116.377,40.0,10
116.378,39.887,2
116.378,39.892,12
116.378,39.897,7
116.378,40.062,1
116.379,39.83,2
116.38,39.85,1
116.38,39.854,1
116.38,39.932,1
116.381,39.855,5
116.381,39.878,2
116.381,40.065,4
116.382,39.882,1
116.382,39.906,14
116.383,39.921,1
116.384,39.932,7
116.386,39.855,1
116.386,39.856,4
116.386,39.885,2
116.386,39.975,2
116.386,40.229,2
116.387,39.855,8
116.387,39.899,2
116.387,39.906,26
116.388,39.871,2
116.388,39.885,4
116.388,39.961,4
116.388,39.972,1
116.389,39.63,1
116.389,39.881,1
116.389,39.922,16
116.39,39.93,7
116.39,39.933,5
116.39,39.936,4
116.391,39.879,1
116.392,39.883,1
116.392,39.884,10
116.392,39.887,6
116.393,39.83,1
116.393,39.86,2
116.393,39.863,7
116.393,39.88,1
116.393,39.923,27
116.394,39.859,5
116.394,39.872,6
116.394,39.876,49
116.394,39.897,1
116.394,39.939,3
116.394,39.975,4
116.394,40.229,1
116.395,39.812,2
116.395,39.833,1
116.395,39.894,1
116.395,39.899,2
116.395,39.906,5
116.395,39.967,3
116.396,39.623,1
116.396,39.812,2
116.396,39.821,3
116.396,39.906,42
116.396,39.967,5
116.396,40.001,17
116.397,40.228,1
116.398,39.855,10
116.398,39.899,3
116.398,39.923,4
116.398,39.975,2
116.399,39.871,4
116.399,39.927,1
116.399,39.931,1
116.399,39.939,1
116.399,40.001,8
116.399,40.192,7
116.4,39.886,36
116.4,39.902,2
116.4,39.909,6
116.4,39.918,2
116.4,39.923,1
116.401,39.804,1
116.401,39.958,2
116.401,39.97,10
116.401,39.971,6
116.401,39.992,2
116.401,39.996,3
116.402,39.718,2
116.402,39.945,1
116.402,39.952,1
116.402,40.126,16
116.403,39.899,2
116.403,39.923,10
116.403,40.001,7
116.403,40.078,1
116.403,40.136,2
116.403,40.153,6
116.404,39.887,4
116.404,39.918,3
116.404,40.001,17
116.405,39.917,19
116.405,39.982,6
116.405,40.048,2
116.405,40.113,10
116.405,40.145,4
116.406,39.871,4
116.406,39.906,2
116.406,39.914,8
116.406,39.923,9
116.406,40.065,1
116.406,40.083,10
116.406,40.101,1
116.406,40.102,7
116.407,39.907,19
116.407,39.923,6
116.407,39.997,3
116.407,40.052,2
116.407,40.055,2
116.407,40.075,2
116.407,40.206,3
116.407,40.209,1
116.408,39.664,1
116.408,39.932,7
116.408,40.04,1
116.408,40.08,1
116.408,40.224,2
116.409,39.629,1
116.409,39.899,4
116.409,39.982,8
116.409,40.001,1
116.409,40.217,1
116.409,40.223,3
116.41,39.899,5
116.41,39.907,49
116.41,39.917,6
116.41,39.935,3
116.41,39.941,1
116.41,39.945,5
116.41,40.006,22
116.41,40.015,1
116.41,40.035,5
116.411,39.856,5
116.411,39.908,1
116.411,39.912,6
116.411,39.948,4
116.411,39.97,3
116.411,39.975,1
116.411,39.98,1
116.411,40.0,1
116.411,40.003,24
116.411,40.015,21
116.411,40.025,1
116.411,40.026,2
116.412,39.893,8
116.412,39.895,1
116.412,39.899,2
116.412,39.901,2
116.412,39.923,7
116.412,39.959,1
116.413,39.982,9
116.414,39.87,1
116.414,39.88,2
116.415,39.858,15
116.415,39.865,9
116.415,39.874,2
116.415,39.901,10
116.415,40.061,2
116.416,39.902,1
116.416,39.982,7
116.417,39.948,1
116.417,39.99,1
116.418,39.923,11
116.418,39.963,7
116.418,39.967,4
116.418,39.973,1
116.418,39.98,9
116.418,39.986,18
116.418,40.0,2
116.419,39.864,4
116.419,39.907,10
116.419,39.927,5
116.419,39.936,1
116.419,39.946,1
116.419,39.955,6
116.419,39.987,2
116.42,39.908,3
116.42,39.912,2
116.42,39.917,4
116.42,39.919,1
