off_long,off_lat,pop_up
116.295,39.604,1
116.295,39.84,1
116.295,39.856,6
116.295,39.888,25
116.295,39.914,2
116.295,39.984,4
116.295,39.996,1
116.295,40.044,50
116.295,40.048,2
116.296,39.865,2
116.296,39.908,57
116.296,40.087,10
116.296,40.205,2
116.297,39.508,2
116.297,39.88,1
116.297,39.957,7
116.298,39.69,1
116.298,39.742,11
116.298,39.794,4
116.298,39.856,2
116.298,39.865,4
116.298,39.911,17
116.299,39.839,3
116.299,39.865,7
116.299,39.922,3
116.299,39.923,15
116.299,40.043,8
116.3,39.784,6
116.3,39.952,11
116.3,40.024,4
116.301,39.905,4
116.301,40.032,7
116.301,40.049,12
116.301,40.205,5
116.302,39.418,9
116.302,39.856,4
116.302,39.866,55
116.302,40.034,1
116.302,40.038,35
116.302,40.079,1
116.303,39.414,1
116.303,39.43,3
116.303,39.433,8
116.303,39.437,5
116.303,39.442,2
116.303,39.453,1
116.303,39.9,37
116.303,39.908,5
116.303,39.911,21
116.303,39.912,5
116.303,39.92,12
116.303,39.927,4
116.303,39.928,3
116.303,39.936,10
116.303,39.943,1
116.303,39.948,10
116.303,39.953,2
116.304,39.4,3
116.304,39.404,1
116.304,39.698,1
116.304,39.786,4
116.304,39.88,7
116.304,39.888,17
116.304,39.889,13
116.304,39.895,1
116.304,39.906,110
116.304,39.912,11
116.304,39.921,17
116.304,39.943,30
116.304,39.946,30
116.305,39.786,3
116.305,39.836,2
116.305,39.866,9
116.305,39.872,14
116.305,39.873,2
116.305,39.88,4
116.305,40.031,30
116.306,39.907,11
116.306,40.051,5
116.307,39.374,1
116.307,39.786,1
116.307,39.863,17
116.307,39.931,1
116.307,39.963,18
116.307,39.984,2
116.307,40.02,1
116.307,40.023,9
116.307,40.025,13
116.307,40.026,2
116.307,40.035,31
116.308,39.829,2
116.308,39.866,81
116.308,39.909,6
116.308,40.002,2
116.308,40.071,12
116.309,39.363,1
116.309,39.886,1
116.309,39.939,15
116.309,39.988,18
116.309,39.994,7
116.309,39.996,9
116.309,40.069,7
116.31,39.789,1
116.31,39.857,2
116.31,39.976,2
116.31,39.981,1
116.31,39.986,11
116.31,40.051,7
116.311,39.509,1
116.311,39.855,8
116.311,40.014,3
116.312,39.699,4
116.313,39.478,2
116.313,39.965,48
116.313,39.974,10
116.314,39.909,12
116.314,39.968,4
116.314,40.047,2
116.314,40.08,3
116.315,39.742,16
116.315,39.866,69
116.315,39.895,2
116.316,39.494,1
116.316,39.788,1
116.316,39.867,2
116.316,39.888,1
116.316,39.959,29
116.316,39.96,1
116.316,40.034,1
116.316,40.035,9
116.316,40.083,1
116.317,39.501,2
116.317,39.643,1
116.317,39.896,12
116.317,39.906,6
116.317,39.951,15
116.317,39.966,13
116.317,39.991,1
116.318,39.349,23
116.318,39.513,9
116.318,39.631,1
116.318,39.666,1
116.318,39.67,1
116.318,39.7,1
116.318,39.737,3
116.318,39.906,105
116.318,39.942,12
116.318,39.947,19
116.318,40.079,45
116.319,39.53,24
116.319,39.531,7
116.319,39.616,1
116.319,39.619,1
116.319,39.629,2
116.319,39.906,15
116.319,39.935,1
116.319,39.939,1
116.32,39.52,44
116.32,39.565,2
116.32,39.572,1
116.32,39.616,1
116.32,39.731,1
116.32,39.848,3
116.32,39.975,14
116.32,40.203,67
116.321,39.606,1
116.321,39.781,1
116.321,39.848,27
116.321,39.87,1
116.321,39.937,18
116.321,39.991,1
116.321,40.055,1
116.322,39.692,1
116.322,39.888,8
116.322,39.9,8
116.322,39.904,9
116.322,39.908,20
116.322,39.956,13
116.323,39.691,3
116.323,39.701,1
116.323,39.797,4
116.323,39.888,4
116.323,40.034,36
116.324,39.704,4
116.324,39.73,1
116.324,39.789,2
116.325,39.313,12
116.325,39.707,4
116.325,39.975,14
116.326,39.723,2
116.326,39.731,2
116.326,39.74,7
116.326,39.742,1
116.326,39.75,3
116.326,39.752,3
116.326,39.906,53
116.326,39.966,4
116.327,39.302,10
116.327,39.327,26
116.327,39.711,1
116.327,39.712,2
116.327,39.775,1
116.327,39.786,5
116.327,39.861,43
116.327,39.888,6
116.327,39.956,12
116.327,39.97,2
116.327,39.974,12
116.328,39.871,6
116.328,39.895,10
116.328,39.896,1
116.328,39.909,2
116.328,39.964,3
116.328,39.991,3
116.328,39.995,1
116.328,40.201,35
116.329,39.73,2
116.329,39.871,2
116.329,39.912,2
116.329,39.937,3
116.329,39.975,10
116.329,40.081,2
116.33,39.73,2
116.33,39.753,1
116.33,39.789,1
116.33,39.816,4
116.33,39.82,8
116.33,39.868,17
116.33,39.937,11
116.33,39.949,3
116.33,40.074,1
116.331,39.718,5
116.331,39.721,5
116.331,39.749,3
116.331,39.75,2
116.331,39.888,10
116.331,39.966,15
116.331,40.069,5
116.332,39.287,10
116.332,39.72,4
116.332,39.746,4
116.332,39.787,2
116.332,39.807,2
116.332,39.847,1
116.332,39.866,5
116.332,39.888,1
116.332,39.906,97
116.333,39.735,7
116.333,39.74,4
116.333,39.742,4
116.333,39.847,21
116.333,39.866,114
116.334,39.896,4
116.334,39.936,3
116.334,39.987,3
116.334,39.99,2
116.335,39.264,6
116.335,39.761,2
116.335,39.821,10
116.335,39.956,3
116.336,39.76,2
116.336,39.763,2
116.336,39.912,10
116.336,40.085,9
116.336,40.091,1
116.337,39.721,1
116.337,39.756,13
116.337,39.904,1
116.337,39.927,1
116.337,39.933,1
116.337,39.935,1
116.337,39.999,1
116.338,39.719,2
116.338,39.74,4
116.338,39.745,4
116.338,39.896,3
116.338,39.914,1
116.338,39.918,3
116.338,39.923,2
116.338,39.966,6
116.338,39.975,8
116.338,39.991,3
116.339,39.722,1
116.339,39.723,8
116.339,39.728,5
116.339,39.729,1
116.339,39.736,11
116.339,39.824,9
116.339,39.906,193
116.339,40.206,3
116.34,39.725,4
116.34,39.835,9
116.34,39.888,23
116.34,39.955,17
116.341,39.72,7
116.341,39.847,5
116.341,39.856,3
116.341,39.935,10
116.341,39.952,12
116.342,39.891,6
116.342,39.948,8
116.342,39.966,60
116.342,40.029,1
116.343,39.242,5
116.343,39.906,3
116.343,39.944,1
116.343,39.966,5
116.344,39.873,13
116.344,39.878,1
116.344,39.881,2
116.344,39.885,2
116.344,39.892,3
116.344,39.906,169
116.344,39.992,1
116.345,39.866,2
116.345,39.9,2
116.345,40.017,1
116.345,40.024,6
116.346,39.83,1
116.346,39.866,47
116.346,39.894,19
116.346,39.907,1
116.346,39.911,7
116.346,39.971,35
116.346,39.995,3
116.346,40.002,1
116.346,40.013,4
116.347,39.875,12
116.347,39.879,18
116.347,39.883,10
116.347,39.89,28
116.347,39.891,6
116.347,39.897,6
116.347,39.916,10
116.347,39.936,19
