off_long,off_lat,pop_up
116.41,39.941,1
116.41,39.945,3
116.41,40.015,2
116.41,40.035,8
116.411,39.785,1
116.411,39.856,2
116.411,39.908,3
116.411,39.912,1
116.411,39.948,2
116.411,39.97,3
116.411,39.975,1
116.411,39.98,1
116.411,40.003,1
116.411,40.014,3
116.411,40.026,1
116.411,40.115,1
116.412,39.893,9
116.412,39.895,2
116.412,39.899,3
116.412,39.901,4
116.412,39.923,10
116.412,39.959,1
116.413,39.888,6
116.413,39.982,3
116.414,39.87,2
116.414,39.88,7
116.414,39.883,3
116.414,39.907,4
116.415,39.858,12
116.415,39.865,10
116.415,39.874,3
116.415,39.901,4
116.415,40.061,1
116.416,39.824,1
116.416,39.982,4
116.417,39.882,1
116.417,39.948,13
116.417,39.99,1
116.418,39.923,15
116.418,39.963,2
116.418,39.967,7
116.418,39.973,4
116.418,39.978,1
116.418,39.98,4
116.418,39.985,1
116.418,39.986,66
116.418,40.0,1
116.419,39.864,4
116.419,39.936,10
116.419,39.942,1
116.419,39.946,4
116.419,39.951,1
116.419,39.955,2
116.419,39.987,2
116.42,39.908,11
116.42,39.912,4
116.42,39.917,5
116.42,39.919,8
116.42,39.924,8
116.42,39.992,1
116.421,39.575,1
116.421,39.857,6
116.422,39.566,2
116.422,39.839,5
116.422,39.843,7
116.422,39.847,4
116.422,39.853,3
116.422,39.907,44
116.422,40.065,1
116.423,39.797,1
116.423,39.899,6
116.423,39.907,22
116.424,39.882,3
116.424,39.892,1
116.424,39.903,3
116.424,39.982,6
116.424,39.988,2
116.425,39.837,13
116.425,39.903,2
116.425,39.968,10
116.425,39.992,1
116.426,39.882,5
116.426,39.923,7
116.426,40.038,1
116.427,39.879,6
116.428,39.903,7
116.429,39.857,2
116.429,39.88,1
116.429,39.902,6
116.429,39.992,1
116.43,39.903,7
116.431,39.857,1
116.431,39.988,15
116.431,40.032,1
116.431,40.034,1
116.432,39.816,1
116.432,39.866,7
116.432,39.923,4
116.433,39.88,11
116.433,39.883,7
116.433,39.966,2
116.433,40.031,6
116.435,39.907,25
116.435,40.227,1
116.436,39.907,10
116.436,39.912,1
116.437,39.852,1
116.437,39.922,3
116.438,39.857,7
116.438,39.874,14
116.438,39.892,22
116.438,39.907,6
116.439,39.848,1
116.439,39.883,15
116.439,39.962,2
116.44,39.833,1
116.442,39.883,5
116.442,39.892,2
116.442,39.907,16
116.442,40.021,2
116.442,40.227,8
116.443,39.883,5
116.443,39.921,13
116.444,39.883,6
116.444,39.909,2
116.444,39.912,1
116.444,39.917,2
116.444,39.919,2
116.444,39.923,2
116.444,39.931,2
116.444,39.975,2
116.445,39.912,4
116.445,39.921,3
116.446,39.883,2
116.446,39.922,25
116.447,39.823,2
116.447,39.883,11
116.447,39.892,2
116.447,39.922,5
116.448,39.907,2
116.449,39.871,12
116.45,39.876,3
116.45,39.885,9
116.45,39.954,1
116.451,39.864,3
116.451,39.88,6
116.451,39.892,1
116.451,39.987,40
116.451,39.997,5
116.451,40.0,1
116.451,40.231,2
116.452,39.922,3
116.452,40.008,1
116.453,39.906,18
116.453,39.907,16
116.453,39.912,1
116.453,40.02,1
116.454,39.867,8
116.454,39.874,2
116.454,39.879,21
116.455,39.863,4
116.455,39.875,3
116.455,39.877,4
116.455,39.88,12
116.455,39.885,14
116.455,39.895,20
116.455,39.92,1
116.455,39.925,1
116.455,39.938,1
116.455,39.941,11
116.455,39.945,6
116.455,39.955,11
116.456,39.906,1
116.456,39.91,15
116.456,39.911,3
116.456,39.989,1
116.457,39.883,22
116.457,39.917,14
116.457,40.019,3
116.458,39.906,7
116.458,39.907,17
116.458,39.949,2
116.458,39.987,1
116.459,39.949,3
116.461,39.87,1
116.461,39.872,4
116.461,39.878,12
116.461,39.882,1
116.461,39.922,1
116.461,39.993,2
116.461,40.012,3
116.462,39.859,3
116.462,39.87,11
116.462,39.922,2
116.462,39.932,1
116.462,39.961,7
116.462,40.234,6
116.463,39.874,10
116.463,39.883,10
116.463,39.907,3
116.463,39.916,2
116.463,39.92,2
116.464,39.907,8
116.464,39.95,1
116.466,39.857,4
116.466,39.922,1
116.466,39.947,5
116.466,40.006,2
116.466,40.009,1
116.467,39.883,4
116.467,39.951,1
116.467,39.965,5
116.467,39.983,43
116.468,39.87,6
116.468,39.921,6
116.468,39.939,4
116.468,39.942,2
116.468,39.943,3
116.469,39.874,23
116.469,39.907,3
116.47,39.854,1
116.47,39.907,17
116.47,39.986,56
116.471,39.867,1
116.471,39.872,2
116.471,39.873,1
116.471,39.876,21
116.471,39.88,4
116.471,39.885,15
116.471,39.889,6
116.471,39.894,4
116.471,39.895,7
116.471,39.904,2
116.471,39.905,1
116.471,39.909,16
116.471,39.911,18
116.471,39.916,2
116.471,39.92,18
116.471,39.932,5
116.472,39.878,1
116.472,39.919,5
116.472,39.923,2
116.472,39.928,16
116.472,39.929,2
116.473,39.708,1
116.473,39.899,2
116.473,39.921,3
116.473,39.927,9
116.474,39.883,1
116.474,39.891,9
116.474,39.906,1
116.474,39.971,19
116.474,39.984,9
116.475,39.849,9
116.475,39.868,1
116.475,39.878,1
116.476,39.396,1
116.476,40.237,20
116.477,39.866,4
116.477,39.899,11
116.477,39.921,21
116.477,39.932,3
116.478,39.926,4
116.479,39.891,5
116.479,39.914,1
116.479,39.955,1
116.479,39.976,7
